date,sampleid,protein,value,total_protein_signal
2019-10-30,E71,lamp2,0.0597,916
2019-10-30,C42,lamp2,0.0507,912
2019-10-30,E112,lamp2,0.0425,994
2019-10-30,A81,lamp2,0.0419,1070
2019-10-30,E71,hexa,0.342,916
2019-10-30,C42,hexa,0.318,912
2019-10-30,E112,hexa,0.284,994
2019-10-30,A81,hexa,0.307,1070
2019-10-30,E71,ctsd.im,0.664,1020
2019-10-30,C42,ctsd.im,0.747,954
2019-10-30,E112,ctsd.im,0.678,930
2019-10-30,A81,ctsd.im,0.787,972
2019-10-30,E71,ctsd.mat,0.798,1020
2019-10-30,C42,ctsd.mat,0.801,954
2019-10-30,E112,ctsd.mat,0.751,930
2019-10-30,A81,ctsd.mat,0.752,972
2019-11-05,E71,ctsd.im,1.93,590
2019-11-05,C42,ctsd.im,1.95,579
2019-11-05,E112,ctsd.im,1.75,580
2019-11-05,A81,ctsd.im,2.21,605
2019-11-05,E71,ctsd.mat,3.01,590
2019-11-05,C42,ctsd.mat,2.42,579
2019-11-05,E112,ctsd.mat,2.84,580
2019-11-05,A81,ctsd.mat,3.2,605
2019-11-05,E71,hexa,0.13,607
2019-11-05,C42,hexa,0.132,571
2019-11-05,E112,hexa,0.131,575
2019-11-05,A81,hexa,0.117,576
2019-11-05,E71,lamp2,0.921,607
2019-11-05,C42,lamp2,0.834,571
2019-11-05,E112,lamp2,0.718,575
2019-11-05,A81,lamp2,0.506,576
